Category,Business Name,Website,Phone,Email,Country,Instagram,Owner Name,Role,LinkedIn,Key AEO/SEO Issues,Notes
Medispa,Medical Spa Berlin,medicalspa-berlin.de,+49 30 42807929,info@medicalspa-berlin.de,Germany,Not found,Eberhard Burhans,Geschäftsführer,Not found,"Title says ""Beauty salon"" but business is a medical spa — brand mismatch; H1 text in English while site is German (inconsistent lang); no FAQ schema; meta description is thin and generic; missing Open Graph tags; no email visible in schema/structured data",GmbH; only generic email available
Medispa,Medical Skin Spa Berlin,medicalskinspa.de,+49 173 7918300,Not listed publicly,Germany,https://www.instagram.com/medicalskinspa/,,,Not found,Multiple H1 tags on the same page (3 H1s — major SEO error); no structured data / schema markup; no meta description found; title tag is excessively long (170+ chars) which gets truncated in SERPs; no FAQ schema for AEO; no sitemap evidence,No personal owner in Impressum; operated by New Media & Consulting KH-FZCO (Dubai)
Cosmetic Clinic,AIVA Institut (Aesthetics & Longevity Center),aiva-institut.de,+49 30 51999750,contact@aiva-institut.de,Germany,https://www.instagram.com/aivainstitut/,Nikolai Burkart; Laurent Burkart; Magdalena Eilers; Sandro Nerger,Geschäftsführer,https://de.linkedin.com/company/aivainstitut,No structured data / LocalBusiness schema; no FAQ schema for AEO; very long H1 (poor UX/SEO); no Open Graph tags observed; contact page lacks structured NAP (Name/Address/Phone) in schema; missing review schema,Operated by DZG Berlin GmbH; 4 named Geschäftsführer; LinkedIn = company page only
Cosmetic Clinic,SkinTime Berlin,skintime-berlin.de,+49 30 98606016,Not publicly listed on site,Germany,https://www.instagram.com/skintime.berlin/,Faten El-Sayed,Inhaberin,Not found,No email publicly listed (poor trust/AEO signal); /kontakt page returns 404 error — broken contact URL; structured data present but no FAQ/Service schema; no WhatsApp or chat engagement option; weak internal linking to treatment detail pages,Sole owner (Inhaberin)
Cosmetic Clinic,Elite Clinics (Dr. Burak Gürel),eliteclinics.eu,+49 30 7901491 / +49 152 36528580,info@eliteclinics.eu,Germany,https://www.instagram.com/eliteclinics.official/,Dr. Burak Gürel,Owner / Arzt,Not found,Multiple H1 tags used as section headings (5 H1s on one page — major error); no meta description; no FAQ or Service schema; page entirely built as long-scroll single page which limits individual page indexing for treatments; no blog/content strategy for AEO,Mobile phone listed (152)
Cosmetic Clinic,BellaDerma Fachzentrum,belladerma.de,+49 30 88929220,mail@belladerma.de,Germany,https://www.instagram.com/belladerma_fachzentrum/,A. Salman,Geschäftsführer,Not found,Strong content depth but no FAQ schema; /kontakt URL 404s in English locale (URL routing issue); no WhatsApp or live chat; missing review schema despite 4.9★ on Google; structured data present but incomplete for services,BellaDerma GmbH; only initial+surname for GF
Cosmetic Clinic,THE25 — Aesthetic Clinic Berlin,the25.de,Not listed on homepage,contact@the25.de,Germany,https://www.instagram.com/the25.de/,Evgeniya Hahnfeld,Inhaberin,Not found,No phone number on homepage (significant AEO/conversion gap); good structured data (2 schemas) and chatbot are positives; no FAQ schema; content mostly in German despite English-language title tag (mixed language signals); missing breadcrumb schema,Mobile phone listed (178)
Cosmetic Clinic,DR. MEK (Aesthetic Medicine & Dermatology),dr-mek.de,+49 30 515657850,info@dr-mek.de,Germany,https://www.instagram.com/dr.mekderma/,Dr. med. Magdalena Erdmann-Keding,Owner / Dermatologist,https://de.linkedin.com/in/dr-med-magdalena-erdmann-keding,Multiple duplicate phone href formats (tel: and tel:00 variants) — messy structured data; H1 appears twice in DOM; no FAQ schema; strong structured data (2 schemas) is a positive; email in footer has trailing whitespace in mailto href (%20%20) — technical bug,Direct LinkedIn match
Cosmetic Clinic,Ghalia Cosmetic Clinique,galiacosmetic.com,+49 178 8003858 (non-standard href format — space in tel: link),Info@galiacosmetic.com,Germany,https://www.instagram.com/ghalia.cosmetic.clinique/,Ghalia Zaghal,Founder,Not found,"No H1 tag at all on homepage — critical SEO error; phone number href has space (tel:+49 178 8003858) which breaks click-to-call on mobile; no FAQ schema; site is in English (lang=""en"") but business is in Berlin — possible local search disconnect; thin meta description",Former Syrian nurse + DE cosmetic professional; no Impressum on site
Cosmetic Clinic,Dr. Mariam Omar — Aesthetic Clinic,mariam-omar.de,+49 30 88676473,contact@mariam-omar.de,Germany,https://www.instagram.com/dr_mariamomar/,Dr. Mariam Omar,Owner / Arzt,https://de.linkedin.com/in/mariam-omar-26a673256,No H1 tag on homepage — critical SEO error; no structured data / LocalBusiness schema at all; no FAQ schema; no Open Graph tags; site copyright says 2023 — signals outdated to crawlers; no chatbot or WhatsApp despite being a private surgery clinic,LinkedIn handle plausible match (Berlin)
